type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil Candriam Sustainable Global Equity Fund,AAP0001AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil Australian Geared Equity Fund,AAP0002AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil MicroCap Fund,AAP0007AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil 130/30 Focus Fund - R Class,AAP0008AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil Balanced Fund,AAP0101AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil Australian Active Equity Fund,AAP0103AU,,,,,,,,,,,,,,,,
SC,AAP,AUSBIL Investment Mgt Ltd (Calastone),Ausbil Australian Emerging Leaders Fund,AAP0104AU,,,,,,,,,,,,,,,,
SC,ABA,Abacus Funds Management Limited,Abacus Hospitality Fund,ABA0005AU,,,,,,,,,,,,,,,,
SC,ABA,Abacus Funds Management Limited,Abacus Jigsaw Trust,ABA0010AU,,,,,,,,,,,,,,,,
SC,ABA,Abacus Funds Management Limited,Abacus Diversified Income Fund II  - Retail Class C,ABA0011AU,,,,,,,,,,,,,,,,
SC,ABI,AllianceBernstein IMAL (Calastone),AllianceBernstein Dynamic Global Fixed Income Fund,ACM0001AU,,,,,,,,,,,,,,,,
SC,ABI,AllianceBernstein IMAL (Calastone),AllianceBernstein Global High Income Fund,ACM0004AU,,,,,,,,,,,,,,,,
SC,ABI,AllianceBernstein IMAL (Calastone),AllianceBernstein Managed Volatility Equities Fund,ACM0006AU,,,,,,,,,,,,,,,,
SC,ABI,AllianceBernstein IMAL (Calastone),AllianceBernstein Global Equities Fund,ACM0009AU,,,,,,,,,,,,,,,,
